# Initial guess: [-7.13711867e-04  5.27124702e-01  1.73778234e+02]
# Polynomial degree: 2
#            2
# -0.004715 x + 1.232 x + 143.4
# dam bottom method: grwl_intersection
CumArea,Elevation,Storage,Storage (mil. m3),Elevation_Observed
23.25,169.53729547228536,313341604.7325514,313.3416047325514,
23.5,169.79028657112852,319899367.67333204,319.899367673332,
23.75,170.04268824329097,326520304.7104884,326.52030471048835,
24.0,170.2945004887727,333204268.4873502,333.2042684873502,
24.25,170.54572330757378,339951111.64724743,339.95111164724744,
24.5,170.79635669969414,346760686.83350986,346.76068683350985,
24.75,171.04640066513386,353632846.68946725,353.6328466894672,
25.0,171.29585520389284,360567443.8584495,360.5674438584495,
25.25,171.54472031597118,367564330.98378646,367.5643309837864,
25.5,171.79299600136878,374623360.7088079,374.62336070880787,
25.75,172.04068226008573,381744385.6768436,381.7443856768436,
26.0,172.28777909212198,388927258.5312235,388.92725853122346,
26.25,172.53428649747752,396171831.9152773,396.17183191527727,
26.5,172.7802044761524,403477958.472335,403.477958472335,
26.75,173.02553302814658,410845490.84572625,410.84549084572626,
27.0,173.27027215346007,418274281.678781,418.27428167878094,
27.25,173.51442185209288,425764183.614829,425.764183614829,
27.5,173.757982124045,433315049.29720014,433.3150492972001,
27.75,174.00095296931642,440926731.36922425,440.9267313692242,
28.0,174.24333438790717,448599082.4742311,448.5990824742311,
28.25,174.48512637981722,456331955.25555056,456.33195525555055,
28.5,174.7263289450466,464125202.3565124,464.12520235651243,
28.75,174.96694208359526,471978676.4204466,471.97867642044656,
29.0,175.20696579546325,479892230.0906828,479.8922300906828,
29.25,175.44640008065053,487865716.0105509,487.8657160105509,
29.5,175.68524493915714,495898986.82338077,495.89898682338077,
29.75,175.92350037098305,503991895.1725022,503.9918951725022,
30.0,176.16116637612828,512144293.70124507,512.144293701245,
30.25,176.39824295459283,520356035.0529391,520.3560350529391,
30.5,176.63473010637668,528626971.8709142,528.6269718709142,
30.75,176.87062783147985,536956956.7985002,536.9569567985002,
31.0,177.10593612990232,545345842.4790269,545.3458424790269,
31.25,177.3406550016441,553793481.5558242,553.7934815558241,
31.5,177.57478444670522,562299726.6722218,562.2997266722217,
31.75,177.80832446508563,570864430.4715495,570.8644304715494,
32.0,178.04127505678534,579487445.5971373,579.4874455971373,
32.25,178.2736362218044,588168624.692315,588.168624692315,
32.5,178.50540796014272,596907820.4004123,596.9078204004123,
32.75,178.73659027180037,605704885.3647591,605.7048853647591,
33.0,178.96718315677737,614559672.2286853,614.5596722286853,
33.25,179.19718661507363,623472033.6355206,623.4720336355206,
33.5,179.42660064668922,632441822.2285949,632.4418222285949,
33.75,179.65542525162414,641468890.651238,641.468890651238,
34.0,179.88366042987832,650553091.5467796,650.5530915467796,
34.25,180.11130618145188,659694277.5585498,659.6942775585497,
34.5,180.3383625063447,668892301.3298782,668.8923013298781,
34.75,180.56482940455686,678147015.5040948,678.1470155040948,
