# Initial guess: [ 4.13838162e-04 -3.27829080e-01  7.86356802e+02]
# Polynomial degree: 2
#            2
# 0.0001335 x + 0.1087 x + 620.4
# dam bottom method: grwl_intersection
CumArea,Elevation,Storage,Storage (mil. m3),Elevation_Observed
301.75,665.3989479130768,6172383671.058639,6172.383671058638,
302.0,665.4462758857653,6183629994.809813,6183.629994809812,
302.25,665.4936205426305,6194888152.639681,6194.888152639681,
302.5,665.5409818836724,6206158148.719288,6206.158148719288,
302.75,665.5883599088912,6217439987.219678,6217.439987219677,
303.0,665.6357546182868,6228733672.311894,6228.733672311894,
303.25,665.683166011859,6240039208.166982,6240.039208166982,
303.5,665.7305940896081,6251356598.955984,6251.356598955984,
303.75,665.7780388515339,6262685848.849946,6262.685848849946,
304.0,665.8255002976364,6274026962.019912,6274.0269620199115,
304.25,665.8729784279158,6285379942.636925,6285.379942636924,
304.5,665.9204732423718,6296744794.87203,6296.74479487203,
304.75,665.9679847410047,6308121522.896272,6308.121522896271,
305.0,666.0155129238143,6319510130.880693,6319.510130880693,
305.25,666.0630577908007,6330910622.99634,6330.91062299634,
305.5,666.1106193419638,6342323003.414254,6342.323003414254,
305.75,666.1581975773038,6353747276.305482,6353.747276305482,
306.0,666.2057924968204,6365183445.841066,6365.183445841066,
306.25,666.2534041005138,6376631516.192052,6376.631516192052,
306.5,666.301032388384,6388091491.529483,6388.0914915294825,
306.75,666.348677360431,6399563376.024404,6399.563376024404,
307.0,666.3963390166547,6411047173.847858,6411.047173847858,
307.25,666.4440173570551,6422542889.170892,6422.542889170892,
307.5,666.4917123816324,6434050526.164547,6434.050526164547,
307.75,666.5394240903863,6445570088.999868,6445.570088999868,
308.0,666.5871524833171,6457101581.8479,6457.1015818479,
308.25,666.6348975604246,6468645008.879687,6468.645008879687,
308.5,666.6826593217089,6480200374.2662735,6480.200374266273,
308.75,666.73043776717,6491767682.178702,6491.767682178702,
309.0,666.7782328968078,6503346936.788019,6503.346936788019,
309.25,666.8260447106223,6514938142.265267,6514.938142265267,
309.5,666.8738732086138,6526541302.781491,6526.541302781491,
309.75,666.9217183907818,6538156422.507735,6538.1564225077345,
310.0,666.9695802571266,6549783505.615043,6549.7835056150425,
310.25,667.0174588076483,6561422556.274459,6561.422556274459,
310.5,667.0653540423466,6573073578.657027,6573.073578657027,
310.75,667.1132659612218,6584736576.933792,6584.736576933792,
311.0,667.1611945642737,6596411555.275798,6596.411555275798,
311.25,667.2091398515024,6608098517.854089,6608.098517854089,
311.5,667.2571018229078,6619797468.839709,6619.797468839709,
311.75,667.30508047849,6631508412.403703,6631.508412403702,
312.0,667.353075818249,6643231352.717114,6643.2313527171145,
312.25,667.4010878421847,6654966293.950988,6654.966293950987,
312.5,667.4491165502972,6666713240.276367,6666.713240276367,
312.75,667.4971619425864,6678472195.864297,6678.472195864297,
313.0,667.5452240190524,6690243164.885821,6690.243164885821,
313.25,667.5933027796951,6702026151.511984,6702.026151511984,
313.5,667.6413982245147,6713821159.913829,6713.8211599138285,
313.75,667.689510353511,6725628194.262402,6725.628194262401,
314.0,667.7376391666841,6737447258.728745,6737.4472587287455,
314.25,667.7857846640338,6749278357.483904,6749.278357483903,
314.5,667.8339468455605,6761121494.698922,6761.121494698922,
314.75,667.8821257112638,6772976674.544845,6772.976674544844,
315.0,667.930321261144,6784843901.192715,6784.843901192715,
315.25,667.9785334952007,6796723178.813577,6796.723178813576,
315.5,668.0267624134344,6808614511.578475,6808.614511578475,
315.75,668.0750080158448,6820517903.658454,6820.517903658453,
316.0,668.1232703024319,6832433359.224558,6832.4333592245575,
316.25,668.1715492731959,6844360882.44783,6844.36088244783,
316.5,668.2198449281365,6856300477.499316,6856.300477499316,
316.75,668.268157267254,6868252148.550059,6868.252148550059,
317.0,668.3164862905481,6880215899.771104,6880.215899771104,
317.25,668.3648319980191,6892191735.333494,6892.191735333494,
317.5,668.4131943896668,6904179659.408274,6904.179659408273,
317.75,668.4615734654914,6916179676.166488,6916.179676166487,
318.0,668.5099692254926,6928191789.77918,6928.191789779179,
318.25,668.5583816696706,6940216004.417394,6940.216004417393,
318.5,668.6068107980253,6952252324.252174,6952.252324252174,
318.75,668.6552566105569,6964300753.454566,6964.300753454566,
319.0,668.7037191072652,6976361296.195613,6976.361296195612,
319.25,668.7521982881502,6988433956.646359,6988.43395664636,
319.5,668.8006941532121,7000518738.977849,7000.518738977848,
319.75,668.8492067024507,7012615647.361126,7012.615647361125,
320.0,668.897735935866,7024724685.967235,7024.724685967234,
320.25,668.9462818534581,7036845858.967219,7036.845858967219,
320.5,668.994844455227,7048979170.5321245,7048.979170532124,
320.75,669.0434237411727,7061124624.8329935,7061.1246248329935,
321.0,669.092019711295,7073282226.040871,7073.28222604087,
321.25,669.1406323655942,7085451978.326801,7085.451978326801,
321.5,669.1892617040701,7097633885.861829,7097.633885861828,
321.75,669.2379077267228,7109827952.816998,7109.827952816997,
322.0,669.2865704335522,7122034183.363351,7122.03418336335,
322.25,669.3352498245584,7134252581.671934,7134.2525816719335,
322.5,669.3839458997414,7146483151.913791,7146.483151913791,
322.75,669.4326586591012,7158725898.259965,7158.725898259964,
323.0,669.4813881026377,7170980824.881501,7170.980824881501,
323.25,669.5301342303509,7183247935.949444,7183.247935949444,
323.5,669.5788970422409,7195527235.634837,7195.527235634837,
323.75,669.6276765383077,7207818728.108725,7207.818728108724,
324.0,669.6764727185513,7220122417.542151,7220.122417542151,
324.25,669.7252855829715,7232438308.106161,7232.438308106161,
324.5,669.7741151315686,7244766403.971798,7244.766403971797,
324.75,669.8229613643425,7257106709.310106,7257.1067093101055,
325.0,669.871824281293,7269459228.2921295,7269.459228292129,
325.25,669.9207038824204,7281823965.088913,7281.823965088913,
325.5,669.9696001677245,7294200923.8715,7294.2009238715,
325.75,670.0185131372054,7306590108.810935,7306.590108810935,
326.0,670.0674427908631,7318991524.078262,7318.991524078262,
326.25,670.1163891286975,7331405173.844526,7331.405173844526,
326.5,670.1653521507086,7343831062.280771,7343.831062280771,
326.75,670.2143318568966,7356269193.558041,7356.269193558041,
327.0,670.2633282472613,7368719571.84738,7368.7195718473795,
327.25,670.3123413218027,7381182201.319832,7381.182201319832,
327.5,670.3613710805209,7393657086.146441,7393.6570861464415,
327.75,670.4104175234158,7406144230.498253,7406.144230498253,
328.0,670.4594806504876,7418643638.54631,7418.64363854631,
328.25,670.5085604617361,7431155314.461658,7431.155314461657,
328.5,670.5576569571614,7443679262.4153385,7443.679262415339,
328.75,670.6067701367634,7456215486.578399,7456.215486578399,
329.0,670.6559000005423,7468763991.1218815,7468.763991121881,
329.25,670.7050465484978,7481324780.21683,7481.32478021683,
329.5,670.75420978063,7493897858.03429,7493.89785803429,
329.75,670.8033896969391,7506483228.745306,7506.4832287453055,
330.0,670.852586297425,7519080896.520921,7519.080896520921,
330.25,670.9017995820876,7531690865.532179,7531.690865532179,
330.5,670.9510295509269,7544313139.950125,7544.313139950124,
330.75,671.000276203943,7556947723.945803,7556.947723945802,
331.0,671.0495395411359,7569594621.690257,7569.594621690257,
331.25,671.0988195625056,7582253837.354531,7582.253837354531,
331.5,671.148116268052,7594925375.10967,7594.925375109669,
331.75,671.1974296577752,7607609239.126718,7607.6092391267175,
332.0,671.2467597316752,7620305433.576718,7620.305433576718,
332.25,671.2961064897519,7633013962.630716,7633.013962630716,
332.5,671.3454699320052,7645734830.459755,7645.734830459754,
332.75,671.3948500584355,7658468041.2348795,7658.468041234879,
333.0,671.4442468690424,7671213599.127133,7671.213599127133,
333.25,671.4936603638263,7683971508.307561,7683.971508307561,
333.5,671.5430905427868,7696741772.9472065,7696.741772947206,
333.75,671.5925374059241,7709524397.217114,7709.524397217114,
334.0,671.642000953238,7722319385.288329,7722.319385288329,
334.25,671.6914811847289,7735126741.331894,7735.126741331894,
334.5,671.7409781003964,7747946469.518854,7747.9464695188535,
334.75,671.7904917002408,7760778574.020253,7760.778574020253,
335.0,671.8400219842619,7773623059.007135,7773.623059007135,
335.25,671.8895689524596,7786479928.650545,7786.479928650545,
335.5,671.9391326048343,7799349187.121526,7799.349187121526,
335.75,671.9887129413856,7812230838.591123,7812.230838591122,
336.0,672.0383099621138,7825124887.230379,7825.124887230379,
336.25,672.0879236670187,7838031337.21034,7838.031337210339,
336.5,672.1375540561003,7850950192.702048,7850.950192702048,
336.75,672.1872011293588,7863881457.87655,7863.88145787655,
337.0,672.2368648867939,7876825136.904888,7876.825136904888,
337.25,672.2865453284059,7889781233.958107,7889.781233958107,
337.5,672.3362424541946,7902749753.207252,7902.749753207251,
337.75,672.3859562641601,7915730698.823365,7915.730698823365,
338.0,672.4356867583023,7928724074.977492,7928.724074977492,
338.25,672.4854339366212,7941729885.840677,7941.729885840677,
338.5,672.535197799117,7954748135.583963,7954.748135583963,
338.75,672.5849783457895,7967778828.378396,7967.778828378396,
339.0,672.6347755766388,7980821968.395019,7980.821968395018,
339.25,672.6845894916648,7993877559.804875,7993.877559804875,
339.5,672.7344200908676,8006945606.779011,8006.945606779011,
339.75,672.7842673742472,8020026113.488469,8020.026113488469,
340.0,672.8341313418035,8033119084.104295,8033.119084104294,
340.25,672.8840119935367,8046224522.797531,8046.224522797531,
340.5,672.9339093294465,8059342433.7392235,8059.342433739223,
340.75,672.983823349533,8072472821.100415,8072.472821100415,
341.0,673.0337540537964,8085615689.052151,8085.615689052151,
341.25,673.0837014422366,8098771041.765474,8098.771041765474,
341.5,673.1336655148535,8111938883.411429,8111.938883411429,
341.75,673.1836462716471,8125119218.161061,8125.119218161061,
342.0,673.2336437126175,8138312050.185413,8138.312050185413,
342.25,673.2836578377648,8151517383.65553,8151.51738365553,
342.5,673.3336886470887,8164735222.7424555,8164.735222742455,
342.75,673.3837361405895,8177965571.617234,8177.965571617234,
343.0,673.4338003182669,8191208434.450911,8191.20843445091,
343.25,673.4838811801212,8204463815.414528,8204.463815414527,
343.5,673.5339787261522,8217731718.6791315,8217.731718679132,
343.75,673.5840929563599,8231012148.415765,8231.012148415764,
